Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap(Cr),Enterprise Value(Cr),1-Week Return,1-Month Return,3-Month Return(%),1-Year Return(%),3-Year Return,5-Year Return(%),10-Year Return(%),Price to Earnings,Median P/E,Price to Book,Median P/B,Earning Yield(%),Price earnings to growth,Dividend Yield(%),EV / EBITDA,Price / Sales,Price / Cash Flow,Earning Per Share,Book Value Per Share,Cash Flow Per Share,Free Cash Flow Per Share,Dividend Per Share,Delta
JB Chemicals & Pharmaceuticals Ltd.,506943,JBCHEPHARM,INE572A01028,Healthcare,Drugs & Pharma,2022-09-05,"1,844.65",2.81,"1,342.20","1,985.00",315.05,"1,985.00",236.00,"1,985.00",14.67,"1,985.00","14,264.72","13,805.64",1.52,1.62,16.76,9.40,69.86,46.35,39.06,37.90,18.67,6.47,2.91,3.70,2.38,0.90,23.82,5.48,83.84,48.04,281.48,22.01,-71.25,16.50,0.07
Bharat Petroleum Corporation Ltd.,500547,BPCL,INE029A01011,Energy,Oil Refineries & Marketing,2022-09-05,324.75,0.87,293.35,503.00,252.00,549.70,238.55,551.55,12.17,551.55,"70,446.48","119,675.29",-1.32,-2.75,-1.04,-33.90,-3.69,-9.37,10.88,26.47,10.92,1.55,2.11,7.21,7.68,4.93,9.65,0.15,3.46,12.27,209.30,95.50,42.98,16.00,0.35
Schaeffler India Ltd.,505790,SCHAEFFLER,INE513A01022,Capital Goods,Ball Bearings,2022-09-05,"3,320.30",5.68,"1,415.00","3,444.95",605.05,"3,444.95",605.05,"3,444.95",5.94,"3,444.95","51,920.17","47,671.50",10.25,18.61,42.52,124.17,60.76,27.22,26.43,65.36,42.25,13.52,5.18,2.23,2.22,0.10,37.97,8.21,111.74,50.82,245.71,148.65,100.95,16.00,0.04
Cochin Shipyard Ltd.,540678,COCHINSHIP,INE704P01017,Capital Goods,Ship Building,2022-09-05,377.00,-0.62,280.75,394.30,209.00,491.70,209.00,599.00,209.00,599.00,"4,952.50","2,903.39",3.44,13.55,15.13,3.61,3.65,-6.82,,8.58,9.19,1.12,1.29,38.63,0.49,4.45,3.20,1.50,6.27,43.90,337.19,60.02,53.41,15.50,0.04
HDFC Bank Ltd.,500180,HDFCBANK,INE040A01026,Financial,Banking,2022-09-05,"1,495.05",0.64,"1,271.60","1,725.00",738.75,"1,725.00",738.75,"1,725.00",15.70,"1,725.00","832,128.75","898,755.88",2.04,4.41,8.31,-5.14,9.98,11.30,17.62,20.96,26.76,3.23,3.99,10.26,1.23,1.04,12.97,5.90,-69.58,71.34,463.40,-21.57,-54.65,15.50,0.13
REC Ltd.,532955,RECLTD,INE020B01018,Financial,SIDCs/SFCs,2022-09-05,106.25,-0.84,82.24,126.64,59.06,126.64,59.06,138.00,19.88,167.93,"27,978.01","358,296.27",-2.16,6.76,18.90,-8.16,-0.75,-2.93,3.98,2.74,4.21,0.52,0.65,9.65,0.28,10.80,10.40,0.72,-7.16,38.82,204.57,-19.80,-20.83,15.30,0.16
GHCL Ltd.,500171,GHCL,INE539A01019,Chemicals,Soda Ash,2022-09-05,617.95,0.79,348.50,695.60,68.80,695.60,68.80,695.60,6.50,695.60,"5,906.72","6,372.11",1.97,1.32,-3.51,64.85,46.81,20.93,31.15,6.56,7.25,1.72,1.25,18.55,0.69,2.43,4.93,1.28,9.18,94.09,358.92,67.48,15.94,15.00,0.11
JK Cement Ltd,532644,JKCEMENT,INE823G01014,Materials,Cement,2022-09-05,"2,699.70",-0.21,"2,003.70","3,838.00",795.25,"3,838.00",649.55,"3,838.00",31.25,"3,838.00","20,819.93","24,213.73",1.85,6.43,25.86,-22.86,39.31,21.84,29.31,31.65,23.94,4.64,3.62,5.72,1.00,0.56,14.98,2.44,23.70,85.14,580.54,113.69,-124.59,15.00,0.30
Thyrocare Technologies Ltd.,539871,THYROCARE,INE594H01019,Healthcare,Diagnostics Services,2022-09-05,631.05,1.78,600.90,"1,311.55",409.60,"1,465.90",406.65,"1,465.90",406.65,"1,465.90","3,347.46","3,141.15",0.54,0.61,-0.43,-49.87,10.34,-1.36,,23.54,31.13,6.15,7.66,6.35,0.97,2.38,14.32,6.06,29.52,26.88,102.94,21.44,17.61,15.00,0.52
Power Grid Corporation Of India Ltd.,532898,POWERGRID,INE752E01010,Energy,Electricity Distribution,2022-09-05,223.40,-0.36,170.20,248.35,91.61,248.35,91.61,248.35,38.81,248.35,"156,006.00","286,006.74",-3.06,1.18,-1.15,27.26,14.80,6.48,9.16,10.00,10.32,2.37,1.94,9.14,0.55,6.60,7.53,3.69,5.97,22.36,94.24,37.45,21.93,14.75,0.10
NMDC Ltd.,526371,NMDC,INE584A01023,Metals & Mining,Minerals,2022-09-05,122.50,0.41,99.60,175.40,61.55,213.20,61.55,213.20,0.40,571.80,"35,885.27","31,223.25",-0.37,14.06,-3.43,-20.76,15.45,-1.85,-4.24,4.70,7.56,0.98,1.21,36.41,0.16,12.04,2.83,1.49,4.70,26.05,124.39,26.07,17.28,14.74,0.30
DCM Shriram Ltd.,523367,DCMSHRIRAM,INE499A01024,Diversified,Diversified,2022-09-05,"1,052.25",2.86,895.00,"1,263.85",172.60,"1,263.85",172.60,"1,263.85",4.00,"1,263.85","16,409.03","15,929.72",1.13,0.32,5.47,17.04,41.86,21.10,,13.98,9.83,2.83,1.89,11.73,1.04,1.40,7.76,1.52,13.40,74.61,369.09,78.51,13.64,14.70,0.17
